exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal_id_orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution (mm)	MRI.slice.thickness	Link.to.paper	Link.to.Download.data
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	1	B200612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200305	5	2	D260612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	1	C190612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	2	B260612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	21	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200306	3	3	D270612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	24	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	3	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	4	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	5	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	6	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	7	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	8	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200307	1	2	C200612	9	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
y		from folder part1	4001	400100	rat001	1	1	1	rat		Long-Evans	m		300-500	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.5	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400100	rat001	1	1	2	rat		Long-Evans	m		300-501	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.6	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400100	rat001	1	1	3	rat		Long-Evans	m		300-502	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.7	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400100	rat001	1	1	4	rat		Long-Evans	m		300-503	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.8	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400101	rat002	1	1	1	rat		Long-Evans	m		300-504	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.9	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400101	rat002	1	1	2	rat		Long-Evans	m		300-505	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.10	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400102	rat004	1	1	1	rat		Long-Evans	m		300-506	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.11	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400102	rat004	1	1	2	rat		Long-Evans	m		300-507	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.12	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400103	rat006	1	1	1	rat		Long-Evans	m		300-508	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.13	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400103	rat006	1	1	2	rat		Long-Evans	m		300-509	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.14	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400104	rat007	1	1	1	rat		Long-Evans	m		300-510	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.15	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400104		1	1	2	rat		Long-Evans	m		300-511	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.16	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400105	rat009	1	1	1	rat		Long-Evans	m		300-512	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.17	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400105		1	1	2	rat		Long-Evans	m		300-513	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.18	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400106	rat010	1	1	1	rat		Long-Evans	m		300-514	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.19	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400106		1	1	1	rat		Long-Evans	m		300-515	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.20	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400106		1	1	2	rat		Long-Evans	m		300-515	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.20	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400107	rat011	1	1	1	rat		Long-Evans	m		300-516	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.21	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400107		1	1	2	rat		Long-Evans	m		300-517	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.22	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400107		1	1	3	rat		Long-Evans	m		300-518	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.23	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400107		1	1	4	rat		Long-Evans	m		300-519	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.24	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400108	rat012	1	1	1	rat		Long-Evans	m		300-520	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.25	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400108		1	1	2	rat		Long-Evans	m		300-521	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.26	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400108		1	1	3	rat		Long-Evans	m		300-522	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.27	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400108		1	1	4	rat		Long-Evans	m		300-523	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.28	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400109	rat013	1	1	1	rat		Long-Evans	m		300-524	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.29	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400109		1	1	2	rat		Long-Evans	m		300-525	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.30	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400109		1	1	3	rat		Long-Evans	m		300-526	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.31	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400109		1	1	4	rat		Long-Evans	m		300-527	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.32	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400110	rat015	1	1	1	rat		Long-Evans	m		300-528	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.33	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400110		1	1	2	rat		Long-Evans	m		300-529	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.34	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400111	rat017	1	1	1	rat		Long-Evans	m		300-530	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.35	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400111		1	1	2	rat		Long-Evans	m		300-531	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.36	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400112	rat018	1	1	1	rat		Long-Evans	m		300-532	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.37	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400112		1	1	2	rat		Long-Evans	m		300-533	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.38	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400113	rat019	1	1	1	rat		Long-Evans	m		300-534	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.39	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400113		1	1	2	rat		Long-Evans	m		300-535	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.40	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400114	rat022	1	1	1	rat		Long-Evans	m		300-536	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.41	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400114		1	1	2	rat		Long-Evans	m		300-537	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.42	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part1	4001	400114		1	1	3	rat		Long-Evans	m		300-538	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.43	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part2	4001	400115	rat023	1	1	1	rat		Long-Evans	m		300-539	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.44	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part2	4001	400115		1	1	2	rat		Long-Evans	m		300-540	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.45	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
		from folder part2	4001	400116	rat024	1	1	1	rat		Long-Evans	m		300-541	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.46	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part2	4001	400116		1	1	2	rat		Long-Evans	m		300-542	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.47	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part2	4001	400116		1	1	3	rat		Long-Evans	m		300-543	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.48	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
y		from folder part2	4001	400118	rat026	1	1	1	rat		Long-Evans	m		300-546	m	n	y		y	2–4% isoflurane				BioSpec	7		GE-EPI	1000	15	0.5 x 0.51	1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7605641/	https://www.nitrc.org/projects/rat_rsfmri
